ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
46605
ITEM: BOX BOUNDS pp pp ff
0.0000000000000000e+00 7.5204971283511398e+01
0.0000000000000000e+00 7.6781222183235400e+01
0.0000000000000000e+00 1.2000000000000000e+02
ITEM: ATOMS id type c_pot c_ket
445 3 -9.8724 0.0544941
439 3 -9.19372 0.0377525
441 3 -9.05205 0.00249037
442 3 -5.6965 0.00956896
443 3 -9.06815 0.0380635
890 3 -8.97897 0.0205483
448 3 -11.5119 0.108965
862 3 -9.56918 0.0094882
879 2 -33.921 0.00412294
437 3 -11.5092 0.0483907
433 3 -9.38263 0.0553313
870 1 -8.40022 0.0351433
884 3 -9.39441 0.0194333
895 3 -8.73321 0.0179891
891 3 -9.29272 0.0231859
887 3 -9.36655 0.0575067
875 1 -9.34465 0.0186128
869 1 -3.66105 0.0328961
395 1 -6.18292 0.0475114
432 2 -26.6119 0.0480451
841 1 -4.57938 0.0392845
452 1 -10.1444 0.041901
461 3 -8.93925 0.0450967
462 3 -8.24079 0.0116249
465 3 -3.96907 0.058309
466 3 -6.76888 0.0131402
480 1 -10.9085 0.0652074
489 3 -8.77282 0.00749448
490 3 -7.83808 0.00387612
493 3 -3.99699 0.0144538
494 3 -4.98989 0.0259289
453 1 -11.5505 0.032021
456 1 -9.36821 0.0180361
457 2 -37.6819 0.0056886
460 2 -43.0322 0.017601
463 3 -3.49539 0.0142089
468 3 -7.82341 0.0191976
469 3 -6.39551 0.0395612
473 3 -8.52113 0.00603714
476 3 -3.89938 0.0220766
898 1 -10.3423 0.0228308
900 1 -10.1783 0.018084
902 1 -13.3388 0.0476557
903 1 -9.9897 0.0247048
904 1 -10.0253 0.0345073
905 2 -38.3135 0.025991
907 2 -38.616 0.0514388
908 2 -38.8668 0.0576125
909 3 -8.70994 0.105597
910 3 -7.58435 0.0174284
912 3 -5.98525 0.0279815
913 3 -4.55856 0.0166074
914 3 -6.51865 0.0878594
915 3 -8.49894 0.015771
917 3 -6.86506 0.0761593
918 3 -2.75451 0.0445921
919 3 -8.11032 0.0450576
921 3 -7.879 0.0110045
923 3 -6.60193 0.0507342
924 3 -8.26514 0.0551724
481 1 -13.5022 0.0214226
484 1 -9.76077 0.0218456
485 2 -37.7193 0.0643444
488 2 -43.519 0.0212541
491 3 -4.08066 0.0100828
496 3 -7.97456 0.0653233
497 3 -5.96544 0.0234419
501 3 -7.81769 0.0726914
504 3 -2.40907 0.00841232
926 1 -10.7324 0.0289095
928 1 -10.6829 0.0455926
929 1 -13.0006 0.0172858
930 1 -13.7005 0.0116428
931 1 -9.85794 0.0132657
932 1 -10.055 0.0340593
933 2 -38.0236 0.0255334
935 2 -41.0593 0.0477846
936 2 -39.0968 0.0512517
937 3 -8.07818 0.047242
938 3 -7.44103 0.0188819
940 3 -5.2805 0.0742574
941 3 -6.27213 0.0592189
942 3 -5.36052 0.016091
943 3 -8.57236 0.0631356
945 3 -6.85631 0.0130029
946 3 0.102891 0.00614961
947 3 -7.00251 0.0371696
949 3 -7.74945 0.0391423
951 3 -6.66536 0.0137171
952 3 -4.20077 0.0413405
899 1 -7.92813 0.0293529
955 1 -9.35678 0.00309642
522 3 -6.17076 0.0183762
546 3 -9.52156 0.0210912
518 3 -9.05217 0.0375971
536 1 -7.9242 0.0280667
521 3 -9.48102 0.0266788
549 3 -10.0615 0.0414554
535 1 -4.70411 0.032776
550 3 -9.09953 0.0422421
545 3 -9.1503 0.0253316
508 1 -9.47697 0.0134118
974 3 -3.57178 0.0295119
1009 1 -4.51069 0.0253527
547 3 -10.7646 0.0120368
525 3 -8.36081 0.0344027
991 2 -36.8182 0.082003
986 1 -9.60772 0.0486521
537 1 -8.70007 0.0134794
963 2 -39.9151 0.0331285
509 1 -12.7257 0.00875699
984 1 -9.52045 0.156364
975 3 -7.6565 0.00135891
1002 3 -6.0335 0.0126466
541 2 -34.2292 0.0631177
968 3 -6.08152 0.00950829
964 2 -38.597 0.0904092
560 3 -12.2252 0.0828272
996 3 -8.82697 0.0344517
989 2 -36.3696 0.0449528
565 1 -8.31039 0.12618
519 3 -8.7809 0.00384412
966 3 -8.37108 0.066975
1008 3 -5.02902 0.0171433
1003 3 -8.39993 0.0426084
982 1 -8.38869 0.0154198
992 2 -37.5873 0.0146195
998 3 -7.05411 0.00213384
999 3 -8.91412 0.0149908
985 1 -12.2178 0.0120895
961 2 -37.292 0.0348595
971 3 -8.7767 0.00823534
997 3 -8.58514 0.000213907
988 1 -9.43632 0.0255857
557 3 -9.82917 0.0437812
553 3 -9.64898 0.0175655
969 3 -6.05421 0.0394341
1007 3 -9.04464 0.028708
994 3 -8.58034 0.022174
524 3 -8.45954 0.0183794
540 1 -8.91766 0.0595374
544 2 -27.3182 0.0377486
959 1 -9.31239 0.0826742
957 1 -11.9742 0.0301642
960 1 -9.27847 0.0139198
516 2 -32.6846 0.0985765
987 1 -9.28927 0.101735
970 3 -6.21237 0.102429
1005 3 -8.2345 0.00656404
954 1 -9.64581 0.0475145
958 1 -11.6402 0.0364855
513 2 -35.1459 0.0385812
980 3 -6.46765 0.00794458
977 3 -8.07951 0.000535229
552 3 -8.95088 0.0199968
532 3 -5.77994 0.0236372
973 3 -6.80634 0.0400081
1001 3 -7.54418 0.0748245
965 3 -8.44257 0.0201039
956 1 -10.0867 0.0178429
529 3 -8.52361 0.143651
512 1 -9.19585 0.0292598
979 3 -8.26793 0.0148504
993 3 -8.68402 0.00621683
981 1 -6.29501 0.0402985
564 1 -7.78511 0.038409
573 3 -8.78105 0.0347426
574 3 -8.98264 0.0214328
577 3 -12.7724 0.111783
578 3 -9.50912 0.0237626
592 1 -7.53965 0.09997
601 3 -9.24674 0.0231262
602 3 -9.38576 0.0225404
605 3 -12.7386 0.0225875
606 3 -11.1814 0.00378646
591 1 -1.79672 0.00710006
568 1 -9.28054 0.00214946
569 2 -34.5692 0.0647266
572 2 -25.4145 0.0288852
575 3 -11.5396 0.0542749
580 3 -8.65214 0.0462409
581 3 -9.9472 0.0158457
585 3 -9.75621 0.0216813
588 3 -11.3795 0.0156635
1010 1 -8.22968 0.0141599
1012 1 -9.28746 0.0162153
1013 1 -11.3682 0.0346822
1014 1 -8.98246 0.0251682
1015 1 -9.4477 0.0112846
1016 1 -9.36937 0.0234541
1017 2 -37.1253 0.105584
1019 2 -35.2258 0.0947194
1020 2 -38.7449 0.00318791
1021 3 -8.92942 0.0372505
1022 3 -8.33912 0.0328677
1024 3 -9.49151 0.0405154
1025 3 -7.00739 0.0384176
1026 3 -8.33046 0.0214909
1027 3 -8.70125 0.0639213
1029 3 -7.15712 0.0166261
1030 3 -8.56449 0.0259865
1031 3 -8.64545 0.0350143
1033 3 -8.86084 0.0483635
1035 3 -9.33383 0.00606314
1036 3 -6.81382 0.0417845
593 1 -7.05911 0.113647
596 1 -8.95075 0.0377236
597 2 -34.4786 0.0312525
600 2 -25.8866 0.0993014
603 3 -9.75603 0.0206299
608 3 -8.7136 0.0596722
609 3 -9.45203 0.00943606
613 3 -9.88223 0.0317853
616 3 -13.6059 0.00633378
1038 1 -8.53536 0.024145
1040 1 -9.59787 0.0474578
1041 1 -12.056 0.051716
1042 1 -10.2212 0.028349
1043 1 -9.29998 0.0571069
1044 1 -9.45283 0.0946238
1045 2 -35.8069 0.0230942
1047 2 -35.8469 0.0130145
1048 2 -36.4607 0.0167565
1049 3 -8.83185 0.018254
1050 3 -8.80953 0.00756837
1052 3 -9.36532 0.0117442
1053 3 -7.10427 0.0622422
1054 3 -7.32305 0.0966356
1055 3 -8.91979 0.0140362
1057 3 -7.90219 0.0254673
1058 3 -5.96834 0.0815396
1059 3 -8.30138 0.0322
1061 3 -7.9768 0.0352076
1063 3 -9.00003 0.0257138
1064 3 -5.28416 0.0107181
1037 1 -4.53272 0.0217377
1011 1 -6.81004 0.0402922
620 1 -7.1648 0.0124303
648 1 -7.94252 0.00995003
657 3 -9.2823 0.0271014
630 3 -9.62778 0.0204629
662 3 -10.8124 0.0567998
658 3 -8.68342 0.00880879
634 3 -11.3825 0.0166455
661 3 -9.88079 0.0155263
619 1 -2.15113 0.01044
647 1 -1.57337 0.0144223
633 3 -13.8405 0.00397086
629 3 -8.95206 0.00932775
1109 3 -12.1997 0.0255457
1114 3 -10.4482 0.0560257
669 3 -9.59455 0.0548406
664 3 -8.90594 0.0437281
656 2 -28.8894 0.0407716
1091 3 -9.85706 0.0129375
1082 3 -8.57495 0.00856207
1101 2 -34.5803 0.017701
1119 3 -10.0154 0.0467226
1099 1 -9.07646 0.0255467
665 3 -8.94039 0.0181835
1115 3 -9.31677 0.020404
631 3 -12.4528 0.0325831
1106 3 -9.04297 0.0392552
1111 3 -8.79732 0.035024
1123 1 -3.98435 0.0179442
1103 2 -33.4201 0.0246016
1075 2 -35.6121 0.0466589
1073 2 -35.1923 0.0356446
1105 3 -8.96171 0.104844
1066 1 -8.04207 0.0168958
1072 1 -9.4658 0.0325065
1097 1 -7.40131 0.0413686
621 1 -7.44103 0.0116266
653 2 -35.2768 0.109481
1086 3 -5.66669 0.065305
1080 3 -9.30218 0.0106643
624 1 -8.85286 0.00809293
1085 3 -9.30439 0.0420843
1069 1 -9.79637 0.00494637
641 3 -10.151 0.0290422
1098 1 -7.91769 0.0346036
1078 3 -8.75044 0.00956697
625 2 -33.8753 0.0389507
1093 1 -2.09341 0.0976344
1087 3 -8.486 0.0285863
1083 3 -8.95121 0.00571699
659 3 -9.33355 0.0179638
1071 1 -9.09412 0.0510642
637 3 -10.0565 0.0138141
636 3 -9.3421 0.0571031
1100 1 -9.18417 0.117878
1117 3 -9.61686 0.0580792
628 2 -23.6342 0.0305371
672 3 -13.7242 0.0238884
1070 1 -8.28994 0.0644996
1108 3 -9.9603 0.0168439
1068 1 -8.61845 0.043292
652 1 -9.18818 0.041494
1113 3 -9.49926 0.0343717
1095 1 -2.35693 0.0236389
644 3 -12.3105 0.000327725
1092 3 -9.95559 0.0439257
649 1 -6.62358 0.0626604
1110 3 -10.2976 0.0485526
1077 3 -8.69727 0.0136534
1089 3 -9.11423 0.035356
1076 2 -26.7904 0.0915233
1094 1 -8.10999 0.109596
1096 1 -7.82117 0.00710228
1120 3 -13.6981 0.0454587
1081 3 -11.5952 0.0111784
1104 2 -24.5784 0.0184512
676 1 -8.91337 0.00220311
685 3 -8.54195 0.0921516
686 3 -8.44724 0.0416987
689 3 -8.19478 0.0129999
690 3 -9.23404 0.0274475
704 1 -9.3068 0.136888
713 3 -9.19861 0.0701205
714 3 -8.85877 0.00627893
717 3 -7.49617 0.0424434
718 3 -7.97464 0.0261542
677 1 -9.41208 0.0433981
